"game_id"	"game_dt"	"home_team_id"	"away_team_id"	"inn_ct"	"bat_home_id"	"outs_ct"	"balls_ct"	"strikes_ct"	"pitch_seq_tx"	"event_tx"	"away_score_ct"	"home_score_ct"	"bat_id"	"pit_id"
ANA201405050	"20140505"	ANA	NYA	6	0	1	3	2	CFBBFBFC	K	0	1	suzui001	weavj003
ANA201405050	"20140505"	ANA	NYA	8	0	0	0	0	X	S5/BG.2-3;1-2	1	1	suzui001	weavj003
MIL201405100	"20140510"	MIL	NYA	7	0	0	1	0	.BX	S8/G+.1-2	3	4	suzui001	thort001
MIL201405100	"20140510"	MIL	NYA	9	0	2	0	1	CX	"7/F"	4	5	suzui001	rodrf003
MIL201405110	"20140511"	MIL	NYA	1	0	2	3	2	BSB*BCF*B	W	3	0	suzui001	garzm001
MIL201405110	"20140511"	MIL	NYA	3	0	2	0	0	X	"6/P"	3	0	suzui001	garzm001
MIL201405110	"20140511"	MIL	NYA	5	0	2	3	2	*BFBBC>X	"13/G"	3	2	suzui001	garzm001
NYA201405182	"20140518"	NYA	PIT	2	1	1	2	2	"1CFBBT"	K	1	0	suzui001	coleg001
NYA201405182	"20140518"	NYA	PIT	4	1	1	1	2	.BFCX	S9/L	1	2	suzui001	coleg001
NYA201405182	"20140518"	NYA	PIT	6	1	2	1	2	CCFBC	K	3	3	suzui001	coleg001
NYA201405182	"20140518"	NYA	PIT	8	1	2	2	2	CBBSS	K	4	3	suzui001	watst001
CHN201405200	"20140520"	CHN	NYA	9	0	2	3	2	.BBBCFFFF*B	W	1	6	suzui001	ramin001
CHN201405210	"20140521"	CHN	NYA	2	0	2	2	2	BCFBFX	S7/L.1-2	0	0	suzui001	samaj001
CHN201405210	"20140521"	CHN	NYA	4	0	2	2	1	BBFX	"43/G"	0	0	suzui001	samaj001
CHN201405210	"20140521"	CHN	NYA	7	0	1	0	1	"1FX"	"63/G.1-2"	0	1	suzui001	samaj001
CHN201405210	"20140521"	CHN	NYA	9	0	0	0	1	CX	"64(1)/FO/G.3-H;2-H(UR)(E4/TH1)"	0	2	suzui001	rondh001
CHN201405210	"20140521"	CHN	NYA	11	0	2	3	2	CBBCBX	S6/G	2	2	suzui001	wrigw001
CHA201405220	"20140522"	CHA	NYA	9	0	1	0	1	.FX	S9/G	0	3	suzui001	belir001
CHA201405230	"20140523"	CHA	NYA	2	0	0	3	2	BFBCFBB	W	3	1	suzui001	noesh001
CHA201405230	"20140523"	CHA	NYA	4	0	1	3	2	BFBFBFB	W	3	1	suzui001	noesh001
CHA201405230	"20140523"	CHA	NYA	6	0	1	1	2	FFBX	"14(1)3/GDP"	3	4	suzui001	noesh001
CHA201405230	"20140523"	CHA	NYA	8	0	0	1	2	C1B1FX	S8/G.1-2	5	4	suzui001	petrj001
CHA201405240	"20140524"	CHA	NYA	3	0	0	0	1	CX	"43/G"	0	3	suzui001	dankj001
CHA201405240	"20140524"	CHA	NYA	5	0	1	1	2	BFFX	"63/G"	0	3	suzui001	dankj001
CHA201405240	"20140524"	CHA	NYA	8	0	1	0	1	CX	"3/G"	0	3	suzui001	dankj001
CHA201405240	"20140524"	CHA	NYA	9	0	2	3	1	.BCBBB	W.1-2	2	3	suzui001	belir001
CHA201405250	"20140525"	CHA	NYA	2	0	1	0	2	C1FX	S8/L.1-2	0	0	suzui001	riena001
CHA201405250	"20140525"	CHA	NYA	3	0	2	1	2	CTBS	K	4	0	suzui001	riena001
CHA201405250	"20140525"	CHA	NYA	6	0	0	1	2	CCFBX	"43/G.2-3"	5	0	suzui001	guerj002
CHA201405250	"20140525"	CHA	NYA	8	0	0	0	1	.CX	"43/G"	6	1	suzui001	carrs001
SLN201405260	"20140526"	SLN	NYA	2	0	0	2	2	CBBFX	"4/P"	1	1	suzui001	wachm001
SLN201405260	"20140526"	SLN	NYA	5	0	0	3	2	CBBSB*B	W	1	1	suzui001	wachm001
SLN201405260	"20140526"	SLN	NYA	7	0	0	0	1	CX	"43/G"	3	3	suzui001	wachm001
SLN201405260	"20140526"	SLN	NYA	10	0	0	3	2	..BCBFFBX	"63/G"	3	3	suzui001	roset001
SLN201405260	"20140526"	SLN	NYA	12	0	1	3	0	IIII	IW	3	3	suzui001	choar001
SLN201405280	"20140528"	SLN	NYA	2	0	1	2	1	BCBX	"6/P"	0	0	suzui001	mills001
SLN201405280	"20140528"	SLN	NYA	3	0	1	2	0	BBX	"46(1)/FO/G.3-H;B-1"	3	0	suzui001	mills001
SLN201405280	"20140528"	SLN	NYA	5	0	0	3	1	BCBBX	"6/P"	7	1	suzui001	mills001
SLN201405280	"20140528"	SLN	NYA	7	0	2	1	0	BX	"31/G"	7	3	suzui001	manes001
NYA201405300	"20140530"	NYA	MIN	2	1	1	3	1	BB1S11.>BX	"7/F"	1	0	suzui001	nolar001
NYA201405300	"20140530"	NYA	MIN	2	1	0	2	1	BB1S11	POCS2(134)	1	0	suzui001	nolar001
NYA201405300	"20140530"	NYA	MIN	4	1	1	2	2	CBFBS	K	4	1	suzui001	nolar001
NYA201405300	"20140530"	NYA	MIN	6	1	2	2	1	BFBX	S4/G.1-2	4	1	suzui001	nolar001
NYA201406010	"20140601"	NYA	MIN	2	1	1	0	2	FCX	"4!(1)3/GDP"	0	0	suzui001	hughp001
NYA201406010	"20140601"	NYA	MIN	4	1	1	0	1	CX	"8/SF/F.3-H"	1	1	suzui001	hughp001
NYA201406010	"20140601"	NYA	MIN	7	1	1	2	2	FBSBX	"63/G"	1	2	suzui001	hughp001
NYA201406020	"20140602"	NYA	SEA	2	1	1	2	2	CSB*BS	K	1	0	suzui001	hernf002
NYA201406020	"20140602"	NYA	SEA	4	1	2	3	1	CB*BBX	S16/G+.3-H;2-H	2	0	suzui001	hernf002
NYA201406020	"20140602"	NYA	SEA	7	1	0	3	2	CBCBFBX	"7!/L"	6	2	suzui001	hernf002
NYA201406020	"20140602"	NYA	SEA	9	1	2	2	2	CBCBS	K	10	2	suzui001	beimj001
NYA201406030	"20140603"	NYA	OAK	8	1	2	1	1	CBX	"7/F"	2	2	suzui001	gregl001
NYA201406040	"20140604"	NYA	OAK	3	1	0	3	0	BBBB	W	0	0	suzui001	chavj001
NYA201406040	"20140604"	NYA	OAK	4	1	1	1	2	CCBX	S8/G+	1	4	suzui001	chavj001
NYA201406040	"20140604"	NYA	OAK	6	1	1	2	2	CB1CF1F>F*BX	"64(1)/FO/G"	4	4	suzui001	chavj001
NYA201406040	"20140604"	NYA	OAK	8	1	1	1	2	CF*BC	K	5	4	suzui001	oterd001
KCA201406060	"20140606"	KCA	NYA	2	0	1	3	2	BBCSBX	"8/L"	0	0	suzui001	guthj001
